step_index,velocity_cmd_mps,samples,duration_s,expected_dh_m,sonar_dh_m,baro_dh_m,pre_sonar_m,post_sonar_m,pre_baro_m,post_baro_m
0,0.0,60,2.956387519836426,0.0,-0.010000000000000009,0.01999999999999602,0.83,0.82,-40.04,-40.02
1,0.2,71,3.49475359916687,0.6989507198333741,0.2250000000000001,0.16499999999999915,0.81,1.0350000000000001,-40.04,-39.875
2,0.0,60,2.944981575012207,0.0,-0.020000000000000018,0.020000000000003126,1.08,1.06,-39.75,-39.73
3,-0.15,80,3.946408510208128,-0.5919612765312192,-0.13000000000000012,-0.21000000000000085,1.08,0.95,-39.65,-39.86
4,0.0,60,2.9495437145233154,0.0,-0.009999999999999898,0.060000000000002274,0.94,0.93,-39.89,-39.83
5,0.3,60,2.9509842395782435,0.885295271873473,0.3700000000000001,0.394999999999996,0.94,1.31,-39.86,-39.465
6,0.0,60,2.94834303855896,0.0,0.030000000000000027,0.054999999999999716,1.39,1.42,-39.38,-39.325
7,-0.25,60,2.9594056606292725,-0.7398514151573181,-0.28,-0.26500000000000057,1.42,1.14,-39.345,-39.61
8,0.0,60,2.9459307193756104,0.0,-0.030000000000000027,-0.04999999999999716,1.08,1.05,-39.64,-39.69
